sequence_number,timestamp,year,month,day,description
25,2016-02-09,2016,2,9,"Al Jazeera reports that the IDF air force attacked Hezbollah fighters on the Damascus-Homs highway."
26,2016-02-18,2016,2,18,"SOHR reports that the Israeli military fired three rockets at a target on the Damascus-Daraa highway."
27,2016-05-11,2016,5,11,"In the area of ​​the international airport of Damascus, the explosion killed the head of the Hezbollah special services Mustafa Badr al-Din. Hezbollah media initially accused Israel of carrying out the attack, but later the Hezbollah leadership announced that the deaths of Badr al-Din and his aides were the result of artillery shelling by the Syrian opposition. Military experts have expressed doubts about the official version voiced by the Party of Allah."
28,2016-06-04,2016,6,4,"An air strike was launched against an air defense base in the Shenshar region, south of Homs. The media attributed this attack to the Israeli Air Force. Damascus declined to comment."
29,2016-06-19,2016,6,19,"SOHR citing Syrian oppositionreports that the IDF Air Force west of Daraa has destroyed an air defense system that Islamic Front militants had captured from the Syrian regular army."
30,2016-07-04,2016,7,4,"The Israeli military attacked the positions of the Syrian army near the Israeli border after shelling in the area of ​​the border fence. There is no information on the damage caused or the victims. The IDF officially announced the fact of the strike."
31,2016-07-06,2016,7,6,"The helicopter fired at Quneitra. Some Syrian media reported that the attack was carried out by the Israeli military."
32,2016-07-20,2016,7,20,"Qatari Al-Jazeera TV reported that Israeli warplanes attacked the Syrian police building in Quneitra, the headquarters of the Baath Party and other targets. The IDF does not comment."
33,2016-08-03,2016,8,3,"Arab sources say that in the Maarb area, north of Damascus, IDF aircraft attacked a Hezbollah convoy carrying weapons."
34,2016-08-22,2016,8,22,"In response to the mortar shelling of the IDF air force, they struck at the positions of the Syrian army in the central part of the Golan Heights."
35,2016-09-04,2016,9,4,"In response to the mortar shelling, the IDF struck Syrian territory. The target of the attack was the firing point of the Syrian army's artillery."
36,2016-09-08,2016,9,8,"The IDF air force attacked the mortar position of the Syrian government army. The air strike was a reaction to the shelling of Israel."
37,2016-09-10,2016,9,10,"The IDF air force attacked artillery positions of the Syrian government army in response to shelling of Israeli territory."
38,2016-09-13,2016,9,13,"In response to the mortar shelling of Israeli territory, the IDF Air Force struck an artillery battery of the Syrian government army. Syrian air defense fired two missiles at Israeli planes."
39,2016-09-14,2016,9,14,"The Israel Defense Forces Air Force attacked a target in Syria. The actions of the Israeli Air Force were a reaction to mortar shelling of Israeli territory."
40,2016-11-09,2016,11,9,"IDF attacked a battery of Syrian artillery. The blow followed in response to the burst of a mortar shell on Israeli territory."
41,2016-11-27,2016,11,27,"The Israeli military opened fire on targets in Syrian territory after firing on troops patrolling the border in the southeastern Golan Heights and the fall of three mortar shells on Israeli territory. The IDF Air Force destroyed the vehicle of the terrorists who fired at the soldiers, four militants of the Shuhada al-Yarmuk group were killed."
42,2016-11-28,2016,11,28,"the IDF air force attacked an Islamic State facility in Syrian territory. An abandoned building previously owned by the UN, which terrorists used to shell IDF soldiers, was hit."
43,2016-11-30,2016,11,30,"A convoy of trucks was attacked in the Damascus area. The blow was also struck to strengthen Assad's army in the Syrian capital."
44,2016-12-06,2016,12,6,"The blow was struck at the Hezbollah facility near the city of Ez-Zabadani."
45,2016-12-07,2016,12,7,"Attacked object in the area of ​​a military airfield in Damascus. According to Arab media reports, the Israeli military used surface-to-surface missiles to attack."
46,2017-01-13,2017,1,13,"A blow was struck at the Mezze military airfield and several other targets in the vicinity of Damascus."
47,2017-02-22,2017,2,22,"An air strike was launched against targets in the Al-Kteife area."
48,2017-03-17,2017,3,17,"The IDF reports strikes against multiple targets in Syria. According to Arab media reports, the attack targeted Hezbollah's missile depots. Syrian air defense used against Israeli aircraft S-200 air defense systems. One of the Syrian missiles was shot down by the Khetz missile defense system. None of the Israelis were hurt."
49,2017-03-19,2017,3,19,"According to Arab media reports, in the evening, the Israeli Air Force struck a target near Quneitra, destroying the car in which one of the leaders of the Fatherland Defense Force was sitting. It was also reported that attacks were carried out late in the evening on targets in the area of ​​the Kalamun mountain range, where air defense batteries and Hezbollah positions were attacked."
50,2017-03-22,2017,3,22,"Syrian opposition media claim that the Israeli Air Force has targeted targets in the Damascus area."
51,2017-04-06,2017,4,6,"Syrian opposition media claim that the Israeli Air Force has targeted Hezbollah and Assad's army targets in the Kalamoun Mountains and Daraa."
52,2017-04-07,2017,4,7,"Syrian opposition media claim that the Israeli Air Force attacked Hezbollah targets in the Kalamoun mountain range, in the Jaroud al-Mara region, and also near the village of Fleet."
53,2017-04-21,2017,4,21,"The IDF attacked the positions of the Syrian army in response to the mortar shelling of Israeli territory."
54,2017-04-23,2017,4,23,"Al Jazeera claims that the IDF air force attacked targets in Syria. Damascus claims three militants have been killed in the Quneitra area."
55,2017-04-27,2017,4,27,"Powerful explosions near Damascus airport. The Syrian opposition announces another IDF strike. Hezbollah warehouses destroyed."
56,2017-05-27,2017,5,27,"A target north of Quneitra was hit. There are killed. Syrian opposition media say it is about an Israeli UAV attack. Hezbollah denies."
57,2017-06-24,2017,6,24,"In response to the falling mortar shells in the Golan Heights, the IDF attacked the positions of the Syrian army."
58,2017-06-25,2017,6,25,"In response to the fall of mortar shells in the Israeli territory of the Golan Heights, the IDF launched a series of attacks on the positions of Assad's army."
59,2017-06-26,2017,6,26,"The Israel Defense Forces retaliated against the positions of the Syrian army after another mortar shellingla Israeli territory of the Golan Heights."
60,2017-06-28,2017,6,28,"In response to the fall of a mortar shell in the Golan, the IDF fired at the firing point of the Syrian army."
61,2017-06-30,2017,6,30,"The IDF Air Force retaliated against the firing point, from where the mortar shelling of the Golan Heights was fired."
62,2017-07-02,2017,7,2,"The Israel Defense Forces attacked an artillery position of the Syrian government army in the northern Golan Heights. This strike was in response to the mortar shelling of the Golan Heights."
63,2017-09-07,2017,9,7,"An object near the city of Masyaf was attacked. Syrian opposition sources claim the Israeli Air Force destroyed a plant that developed chemical and biological weapons. The fact of the strike on a military facility near Masyaf was confirmed by Damascus, with two soldiers killed and significant damage reported."
64,2017-09-19,2017,9,19,"Arab sources said the Israeli Air Force attacked four targets near a military airfield near the city of Hamat."
65,2017-09-22,2017,9,22,"Syrian opposition sources said the Israeli Air Force attacked a target at Damascus airport."
66,2017-10-16,2017,10,16,"The Israeli Air Force destroyed an S-200 SAM battery located east of Damascus in response to an attempted shelling of Israeli aircraft in Lebanese airspace."
67,2017-10-19,2017,10,19,"In response to the fall of a shell on Israeli territory, the IDF Air Force struck at the positions of the Syrian army in the Quneitra area."
68,2017-10-21,2017,10,21,"In response to another shelling from Syrian territory, the IDF struck three artillery pieces of the Syrian army."
69,2017-11-01,2017,11,1,"Lebanese media reported that the Israeli Air Force launched strikes on several targets in Syria. Presumably, a weapons factory and / or a weapons depot destined for Hezbollah were attacked."
70,2017-12-02,2017,12,2,"Lebanese media reported that the Israeli Air Force attacked military targets 15 kilometers southwest of Damascus. The Iranian military base under construction was probably attacked. Al-Mustakbal TV channel reported about 12 killed Iranians."
71,2017-12-04,2017,12,4,"A missile strike was launched against a military research center in Jumbrai, near Damascus. Syrian state media claim air defenses have shot down three of six Israeli missiles."
72,2017-12-23,2017,12,23,"Lebanese and Russian media report that the IDF air force attacked a military facility in the Quneitra region, in southwestern Syria."
73,2018-01-09,2018,1,9,"Syrian sources report an airstrike against a target at a base in al-Qatif, north of Damascus. The command of the Syrian army claims the damage caused and that three missiles were allegedly shot down by the air defense of the Syrian army."
74,2018-01-10,2018,1,10,"Information has been received about the destruction of the Hezbollah convoy in the Zabadani region. There is no official confirmation."
75,2018-01-16,2018,1,16,"Information has been published about the strike by the IDF air force on the Hezbollah facility at the Mezze military airfield, near Damascus. There is no official confirmation."
76,2018-02-07,2018,2,7,"Foreign media reported on an IDF air strike on a research center in the countryside west of Damascus. Official Syrian media reported that the air defenses had reacted to ""a new Israeli aggression)."""
77,2018-02-10,2018,2,10,"The IDF attacked Iranian targets at the T-4 base in Syria after launching a UAV towards Israel (the drone was shot down; during the operation, an Israeli F-16 plane fell as a result of Syrian air defenses, the pilots survived). Iranian facilities based on the T-4 suffered significant damage."
78,2018-04-09,2018,4,9,"Missile attack on the T-4 base in Syria. Damascus claims significant damage, fatalities and injuries. SOHR reports 14 dead, including Iranian advisers. The Russian Defense Ministry said that the attack was carried out by the Israeli Air Force."
79,2018-04-17,2018,4,17,"Syrian state media announces attempted rocket attacks on Shayrat, T-4 and Dumair airbases successfully repelled by Syrian air defenses. The pro-Assad website al-Masdar claims the attack was attempted by Israel. Interfax and DPA, citing sources in Syria, say that there was no missile attack, the Syrian air defense responded to a false alarm."
80,2018-04-30,2018,4,30,"Rocket attacks were carried out on military bases north of Homs and in the province of Hama, as well as near Aleppo. Dozens of those killed, among them Iranian military specialists. The media reported on the destruction of 200 missiles in Syria. After this attack, Iran's Supreme Leader Ali Khamenei said that from now on, the Iranians will retaliate against Israel if the Israelis attack Iranian targets in Syria. On May 11, the IDF claimed responsibility for this attack."
81,2018-05-08,2018,5,8,"Rocket attacks have been carried out on military targets in the Al-Qisua area southwest of Damascus. Presumably the target of the strike were Iranian missiles directed towards Israeli territory. Apparently, an attempt by the Iranians to attack Israel was thwarted."
82,2018-05-10,2018,5,10,"In response to the Iranian shelling of Israeli territory, a massive strike was struck against targets in Syria. The IDF says more than 50 targets were attacked, including Syrian air defense systems."
83,2018-05-18,2018,5,18,"The bombings at an Iranian military base near the airport in the Syrian city of Hama, according to Sky News and SOHR, killed 57 Iranians and 11 Syrians. Damascus and Tehran did not blamebe on Israel. Although some Syrian media have suggested that this is a sabotage prepared by the Israelis."
84,2018-05-21,2018,5,21,"Explosions at an Iranian base located in the Naj area, south of Damascus. Significant damage was caused to the headquarters of the electronic warfare unit of the Islamic Revolutionary Guard Corps and the building of the School of State Security."
85,2018-05-24,2018,5,24,"A missile strike was launched from the air on targets at the Al-Dabaa airbase in the province of Homs, in western Syria, where Hezbollah and Iranian forces are based. Damascus blamed Israel. Earlier in the day, the Hamdan airbase in eastern Syria, near the border with Iraq, was attacked."
86,2018-05-29,2018,5,29,"Sky News Arabia reports that the IDF air force attacked a Hezbollah base near the city of Al-Qusayr in Homs province last night, with a senior commander killed."
87,2018-06-17,2018,6,17,"An airstrike on a base in eastern Syria, close to the border with Iraq, killed dozens of Shiite militias and Syrian army personnel. Damascus blamed the attack on the United States and the Western coalition. The Pentagon has declared no involvement in the attack. Source in Washington: The strike was carried out by the Israeli Air Force."
88,2018-06-26,2018,6,26,"Syrian state television reported that two Israeli rockets fell near Damascus International Airport. An Iranian plane, from which weapons for Hezbollah were being unloaded, or a Hezbollah weapons depot, was allegedly attacked."
89,2018-07-08,2018,7,8,"Syrian state television reported that the Israeli Air Force attacked the Syrian Air Force at Tiyas (T4), located 4 kilometers southwest of Tiyas in Homs province."
90,2018-07-12,2018,7,12,"The press service of the Israel Defense Forces published a message according to which the IDF struck three military positions in Syria."
91,2018-07-15,2018,7,15,"Syrian state media and Hezbollah TV said the IDF air force attacked a target at Neirab airport near Aleppo. According to various sources, a warehouse or headquarters of Iranian forces was attacked."
92,2018-07-22,2018,7,22,"Syrian and Lebanese media reported that IDF planes attacked a defense plant in the suburbs of the Syrian city of Masyaf in Hama governorate."
93,2018-08-02,2018,8,2,"Syrian media claim the IDF Air Force has targeted Syrian and Iranian military bases west of Damascus. According to unofficial information, there are casualties."
94,2018-09-02,2018,9,2,"The Syrian media reported on strong explosions at the Mezze military airfield near Damascus. Hezbollah TV and SOHR claim that it is an Israeli missile strike."
95,2018-09-04,2018,9,4,"Syrian media reported on the strikes of the IDF air force on military targets in the provinces of Hama and Tartus. According to unofficial data, there are dead and wounded."
96,2018-09-05,2018,9,5,"Late in the evening, the Syrian media reported that Israeli aircraft attacked a target (or several targets) in Aleppo governorate."
97,2018-09-15,2018,9,15,"Late in the evening, the Syrian media reported on the strike by the Israeli air force in the area of ​​Damascus airport."
98,2018-09-17,2018,9,17,"A warehouse with weapons destined for Hezbollah has been destroyed east of Latakia."
99,2018-10-15,2018,10,15,"According to Can Bet, the IDF Air Force attacked a facility in Syria and cut off the delivery of precision-guided missile weapons to Hezbollah from Iran. There may have been another hit on a target in Syria in October."
100,2018-11-22,2018,11,22,"According to the Step News Agency, a military aircraft, believed to be Israeli, attacked a target near Dir al-Zur (eastern Syria), killing two Iranians or members of the pro-Iranian militia."
101,2018-11-29,2018,11,29,"The Al-Arabiya TV channel reported that the Israeli Air Force attacked an Iranian military base in southern Syria, which contained a weapons depot and a command post. The Syrian media reported that the air defense had repulsed ""enemy aggression."""
102,2018-12-25,2018,12,25,"Syrian media report an attack on facilities in the vicinity of Damascus. According to SANA, weapons depots were attacked. Three Syrian soldiers were wounded."
103,2019-01-12,2019,1,12,"Syrian media report attacks on targets in the vicinity of Damascus and in Kisuy. According to SANA, weapons depots were attacked. Opposition sources claim Iranian cargo planes have been eliminated at Damascus airport. On January 13, Israeli Prime Minister Benjamin Netanyahu confirmed the strike on Iranian warehouses in Syria."
104,2019-01-20,2019,1,20,"Damascus and Moscow claim that the Israeli air force attacked targets in the airport area near Damascus, but this attack was repelled by the Syrian air defenses. Israel does not comment on this information. Shortly after reports of the attack, an Israeli missile defense system intercepted a missile fired from Syria."
105,2019-01-21,2019,1,21,"The IDF struck a massive strike on the targets of the Iranian armed forces in the vicinity of Damascus, in addition, the Syrian air defenses were attacked, trying to interfere with the actions of the Israeli air force. Significant damage was caused. SOHR reports dozens of Syrian and Iranian military personnel killed."
106,2019-02-11,2019,2,11,"Syrian state media say IDF tanks fired at targets in Quneitra province. Unofficial Syrian sources report thatthe gifts were delivered to Hezbollah positions both from the ground and from the air. The fact of the strike was confirmed by the Israeli leadership."
107,2019-03-27,2019,3,27,"Syrian state media reported strikes on the Sheikh Najar military airfield and industrial zone near Aleppo. The SANA news agency wrote that, presumably, it was an attack carried out by the Israeli Air Force."
108,2019-04-13,2019,4,13,"Syrian state media reported strikes on a facility in the Masyaf area west of Hama. According to the Syrian opposition, the Hezbollah base was attacked. Buildings destroyed and six injured were reported."
109,2019-05-17,2019,5,17,"The Syrian state media reported several rockets fired from Israel by Quneitra. SOHR claims there were at least three explosions southwest of Damascus, where Hezbollah and pro-Iranian militia bases are located."
110,2019-05-18,2019,5,18,"Syrian media and SOHR report another IDF strike on targets south of Damascus."
111,2019-05-27,2019,5,27,"In response to the shelling of an IDF aircraft in Israeli airspace, an air defense installation was struck in the Quneitra area. The Syrian military said a soldier was killed and two others were wounded as a result of the attack. SOHR announced two killed Syrian military personnel."
112,2019-06-02,2019,6,2,"In response to the shelling of Israeli territory, the IDF struck military targets in Syria. The IDF Air Force attacked several military installations of the Syrian army: two artillery batteries, a number of observation and reconnaissance posts and an air defense battery SA-2. SANA reports three Syrian soldiers killed and seven wounded. SOHR says the IDF also attacked Iranian and Hezbollah targets south of Damascus."
113,2019-06-03,2019,6,3,"Damascus claims the IDF struck targets at the T4 military airfield, east of Homs. According to SOHR, warehouses and military bases of the Iranian Islamic Revolutionary Guard Corps were attacked, at least five killed."
114,2019-06-12,2019,6,12,"The Syrian state agency SANA reported that the IDF launched a missile strike against a target in the area of ​​Tel al-Khara (Daraa province)."
115,2019-07-01,2019,7,1,"According to a statement from the Syrian Ministry of Defense, IDF planes and Israeli Navy ships launched missile strikes on targets in the vicinity of Damascus, as well as in Homs. Numerous casualties and dozens of wounded are reported. Significant damage was caused to military installations. One of the Syrian air defense missiles fell on the territory of Northern Cyprus."
116,2019-07-24,2019,7,24,"The Syrian state agency SANA reported that the IDF attacked a target in the Daraa province in the south of the country."
117,2019-08-01,2019,8,1,"SANA reported an IDF rocket attack on a target west of Quneitra."
118,2019-08-15,2019,8,15,"Syria announced that it was repelling a missile strike against a target in the Masyaf area."
119,2019-08-24,2019,8,24,"The IDF Air Force struck targets in the village of Aqraba, located southeast of the Syrian capital. The attack was directed against fighters of the Al-Quds Forces of the Iranian Islamic Revolutionary Guards Corps and militants of the Shiite armed groups, supported by Iran, who were preparing a terrorist attack against Israeli targets."
120,2019-09-09,2019,9,9,"An airstrike was inflicted on Iranian and pro-Iranian forces in the Al-Bukamal area, in eastern Syria, near the border with Iraq. Israel did not take responsibility."
121,2019-09-16,2019,9,16,"An air strike was inflicted on the positions of the Al-Hashd al-Shaabi grouping in the area of ​​the Al-Bukamal border crossing. According to SOHR, at least 10 people were killed."
122,2019-09-18,2019,9,18,"An air strike was inflicted on the positions of the Al-Hashd al-Shaabi grouping in the area of ​​the Al-Bukamal border crossing. At least 10 people were killed, according to Sky News Arabia."
123,2019-09-28,2019,9,28,"An air strike was inflicted on the positions of the Al-Hashd al-Shaabi grouping in the area of ​​the Al-Bukamal border crossing."
124,2019-11-12,2019,11,12,"In the Al-Mazeh region of Damascus, an airstrike was launched against the home of the commander of the Al-Quds Brigades (Islamic Jihad) Akram al-Ajuri. He was wounded, his son Muaj and Abdullah Yusuf Hassan, both Islamic Jihad activists, were killed, and six others were injured. Israel did not take responsibility for this strike. But Israeli Defense Minister Naftali Bennett in February 2020 in an interview with NEWSru.co.il said that the attack was carried out by the IDF."
125,2019-11-18,2019,11,18,"A blow was struck at a target in the Al Bukamal area, on the Syrian-Iraqi border. Damascus and Moscow say the attack was carried out by the Israeli Air Force through Jordanian airspace."
126,2019-11-19,2019,11,19,"Explosions in the area of ​​Damascus airport. SOHR says the strikes were launched by the IDF in response to rocket attacks on Israeli territory. Israel does not take responsibility."
127,2019-11-20,2019,11,20,"The IDF has attacked dozens of military installations in Syria belonging to the Iranian Quds Force and the Syrian army. Significant damage was inflicted, there are killed and wounded. Israel claimed responsibility for the strike, stressing that it was a retaliatory action following a missile attack on Israeli territory from Syria."
128,2019-12-04,2019,12,4,"Explosions near the Hamadan airbase in Dir az-Zur province. The target of the air strike was a weapons warehouse on the territory of the airfield. The media noted that Thushortly after this blow, Israeli Prime Minister Benjamin Netanyahu, while in Portugal, said: ""We are forced to constantly confront Iranian aggression."""
129,2019-12-08,2019,12,8,"Air strikes on positions of Iranian forces and pro-Iranian militias on the outskirts of the city of Al-Bukamal, on the Syrian-Iraqi border. According to SOHR, at least five people were killed."
130,2019-12-22,2019,12,22,"A missile strike was launched against targets near Damascus. SANA announces that Syrian air defenses are repelling an Israeli strike. SOHR reports that targets of the Assad regime and Iranian militias were hit, at least three ""non-Syrians"" killed."
131,2019-12-25,2019,12,25,"Unidentified UAVs attacked the Hezbollah headquarters and the positions of pro-Iranian militias in the area of ​​the city of Al-Bukamal on the Syrian-Iraqi border. SOHR reports five killed."
132,2020-01-04,2020,1,4,"The planes attacked the positions of pro-Iranian militias in the area of ​​the city of Al-Buqamal on the Syrian-Iraqi border. No casualties have been reported."
133,2020-01-08,2020,1,8,"SOHR reports: Unidentified aircraft attacked targets in the village of Al-Majawda, near Al-Bukamal, where pro-Iranian militias are stationed. On this day, in the Al-Sambli area, near Al-Bukamal, there was a transfer of heavy weapons and armored vehicles from the pro-Iranian militias to the Lebanese Hezbollah."
134,2020-01-09,2020,1,9,"SOHR reports: Unidentified aircraft attacked targets in the area of ​​Al-Jala and Al-Abbas, near Al-Bukamal."
135,2020-01-10,2020,1,10,"SOHR reports: Unidentified aircraft attacked positions of pro-Iranian armed formations in the area of ​​the city of Al-Buqamal on the Syrian-Iraqi border. Lebanese TV channel Al-Mayadin, associated with Hezbollah, claims it was an Israeli Air Force attack. According to the TV channel, a truck with weapons on its way from Iraq to Syria was destroyed. SOHR claims a massive attack that hit vehicles and weapons depots and killed at least eight militants of the paramilitary Al-Hashd al-Shaabi militia."
136,2020-01-14,2020,1,14,"The attack was carried out on the T4 military airfield in the province of Homs. The missile defense system was activated."
137,2020-02-06,2020,2,6,"An air strike was launched against targets in the Damascus area. SOHR says at least 23 people have been killed: three Iranians, 12 Iranian militias and eight Syrians."
138,2020-02-13,2020,2,13,"Attacks were delivered to targets of pro-Iranian forces south of Damascus, including weapons depots. According to SOHR, at least seven people were killed: four ""Iranian officers"" and three Syrians, including two officers of the regular army."
139,2020-02-23,2020,2,23,"Strikes were made on targets in the Damascus area. SOHR says it is an Israeli Air Force attack. The IDF confirmed that the objects of the ""Islamic Jihad"" were attacked in Syria, and two militants of this terrorist group were killed."
140,2020-02-27,2020,2,27,"SANA says an Israeli UAV attacked a car in southern Syria, near the village of Hadar, killing one person. According to reports, the head of Hezbollah's infrastructure in Syria has been liquidated. The IDF does not comment on this information."
141,2020-02-28,2020,2,28,SANA and SOHR say IDF helicopters attacked targets of the Syrian government army and the Allied Forces (Hezbollah) in southern Syria. There are killed and wounded. The IDF does not comment on this information.
142,2020-03-02,2020,3,2,"The IDF struck a car in southern Syria after a sniper attack from the Syrian side was recorded. The IDF press service confirmed this information. On March 17, the IDF released details of the attack."
143,2020-03-05,2020,3,5,"Military targets were attacked in the area of ​​Homs and in Quneitra governorate. According to media reports, the attack was carried out at the headquarters of Hezable, located on the territory of the A-Debaa military airfield. Strikes on Syrian targets reportedly killed one person and injured four. The IDF did not comment on the Syrian media reports."
144,2020-03-11,2020,3,11,"Unidentified UAVs attacked targets at the base of the Shiite pro-Iranian group Kataib Imam Ali (Imam Ali Battalions) in the Al-Bukamal region in eastern Syria near the border with Iraq. SOHR reports 18 killed, according to one version of this monitoring group, the strike could have been carried out by the Israelis. The IDF does not comment. Iraqi and Lebanese media later claimed that the attack was carried out by the Americans."
145,2020-03-31,2020,3,31,"Syrian media reported that the IDF Air Force from Lebanese airspace attacked targets in the province of Homs. Later it became known that objects at the Shayrat airbase were attacked. Israel did not claim responsibility for this attack."
146,2020-04-15,2020,4,15,"A car was destroyed by an air strike near the Yabus junction, between Damascus and the Lebanese border. SOHR says the attack was carried out by an Israeli UAV. No harm done. Al Arabiya said the target was Hezbollah militant leader Mustafa Murniya."
147,2020-04-20,2020,4,20,"In the province of Homs, an object located north of the airfield of the Syrian air force ""Et-Tiyas"" was attacked. According to SOHR, a pro-Iranian militia base was attacked, 12 people were killed."
148,2020-04-27,2020,4,27,"From Lebanese airspace,missile strikes against targets near Damascus. The targets of the Iranian forces and the Lebanese Hezbollah were attacked. At least seven killed, according to SOHR."
149,2020-05-01,2020,5,1,"SOHR: Israeli Air Force attacked Hezbollah depots in Homs. The command of the Syrian army: this was not an attack, it was about an explosion of ammunition during transportation due to a mistake. Helicopters attacked several targets in the Quneitra area. No killed or wounded. Material damage caused."
150,2020-05-04,2020,5,4,"A blow was struck at the object of the pro-Iranian militia in the Al-Mayadin desert (Dir az-Zur governorate), on the Syrian-Iraqi border. According to SOHR, 14 Iranians and Iraqis were killed. A military research center in the Aleppo province, in the Al-Safir region, was attacked. Damascus blamed Israel."
151,2020-06-04,2020,6,4,"A blow was struck at an Iranian military facility in the area of ​​the city of Masyaf west of Hama. Significant damage was caused. SOHR reports at least nine deaths."
152,2020-06-07,2020,6,7,"Unidentified drones attacked the Iranian militia headquarters at Maizilah base, in the eastern part of Dir al-Zur governorate. According to SOHR, significant damage was caused, at least 12 militants of the pro-Iranian group were killed."
153,2020-06-23,2020,6,23,"The Syrian military said that the air defense forces repelled an attack in the Al-Sueida area, but that there are killed and wounded. According to the Al-Arabiya TV channel, the target of the attack was the base of the pro-Iranian forces, to which a military cargo from Iran was delivered in the morning. SOHR: Air strikes targeted Iranian and Syrian military targets in the Tal al-San area near Al-Sueida and in the Qabbaj area near Dir al-Zur, killing at least seven people."
154,2020-06-27,2020,6,27,"Unidentified planes attacked targets of the Syrian army and pro-Iranian militia in the village of Al-Abbas near the town of Al-Bukamal. According to SOHR, at least six people were killed in the Israeli Air Force attack."
155,2020-06-28,2020,6,28,"Unidentified planes attacked targets of the pro-Iranian militia in the Al-Bukamal area. According to SOHR, about 10 people were killed in the Israeli Air Force attack."
156,2020-07-17,2020,7,17,"Unidentified planes attacked targets of the pro-Iranian militia near the settlement of Salihiya, in the Al-Bukamal area."
